#EXPORTTYPE:DATA SINGLE							
#FILE:A+.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:A-2+							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 13:35							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:A-2+							
#SAMPLE LENGTH /mm:23.75							
#MATERIAL:							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-76.5	6.82333	-2.12967E-05					
-76.4	6.84305	-2.11369E-05					
-76.3	6.86276	-2.1079E-05					
-76.2	6.88244	-2.09983E-05					
-76.1	6.90217	-2.09123E-05					
-76	6.92194	-2.07157E-05					
-75.9	6.94167	-2.06873E-05					
-75.8	6.9614	-2.06082E-05					
-75.7	6.98114	-2.04395E-05					
-75.6	7.00089	-2.03367E-05					
-75.5	7.02063	-2.02297E-05					
-75.4	7.04034	-2.01866E-05					
-75.3	7.06005	-1.99725E-05					
-75.2	7.07978	-1.99137E-05					
-75.1	7.09951	-1.97969E-05					
-75	7.11921	-1.96842E-05					
-74.9	7.13894	-1.96405E-05					
-74.8	7.15869	-1.94202E-05					
-74.7	7.17844	-1.93561E-05					
-74.6	7.19821	-1.92644E-05					
-74.5	7.218	-1.91111E-05					
-74.4	7.23778	-1.898E-05					
-74.3	7.25752	-1.89087E-05					
-74.2	7.2773	-1.88082E-05					
-74.1	7.2971	-1.85591E-05					
-74	7.31689	-1.85846E-05					
-73.9	7.33667	-1.83665E-05					
-73.8	7.35645	-1.82148E-05					
-73.7	7.37626	-1.80366E-05					
-73.6	7.39604	-1.80553E-05					
-73.5	7.41583	-1.78397E-05					
-73.4	7.4356	-1.77168E-05					
-73.3	7.45541	-1.76166E-05					
-73.2	7.47519	-1.73531E-05					
-73.1	7.49495	-1.72138E-05					
-73	7.51473	-1.70008E-05					
-72.9	7.53451	-1.69804E-05					
-72.8	7.55427	-1.68102E-05					
-72.7	7.57405	-1.66105E-05					
-72.6	7.59384	-1.6449E-05					
-72.5	7.61359	-1.63804E-05					
-72.4	7.63333	-1.62287E-05					
-72.3	7.65304	-1.59801E-05					
-72.2	7.67279	-1.58646E-05					
-72.1	7.69251	-1.57076E-05					
-72	7.71221	-1.55352E-05					
-71.9	7.73189	-1.54361E-05					
-71.8	7.75158	-1.51354E-05					
-71.7	7.77126	-1.50167E-05					
-71.6	7.79096	-1.48988E-05					
-71.5	7.81063	-1.46619E-05					
-71.4	7.83033	-1.45245E-05					
-71.3	7.85002	-1.44399E-05					
-71.2	7.8697	-1.40983E-05					
-71.1	7.88939	-1.40228E-05					
-71	7.90908	-1.37498E-05					
-70.9	7.92876	-1.35935E-05					
-70.8	7.94844	-1.34079E-05					
-70.7	7.96814	-1.32205E-05					
-70.6	7.98781	-1.3054E-05					
-70.5	8.00746	-1.28934E-05					
-70.4	8.02714	-1.2604E-05					
-70.3	8.04683	-1.2419E-05					
-70.2	8.06654	-1.22854E-05					
-70.1	8.08624	-1.20618E-05					
-70	8.10594	-1.18443E-05					
-69.9	8.12567	-1.16157E-05					
-69.8	8.14539	-1.14041E-05					
-69.7	8.16513	-1.1235E-05					
-69.6	8.18488	-1.10147E-05					
-69.5	8.20462	-1.07331E-05					
-69.4	8.2244	-1.05949E-05					
-69.3	8.24417	-1.03617E-05					
-69.2	8.26395	-1.00157E-05					
-69.1	8.28373	-9.90765E-06					
-69	8.30349	-9.61279E-06					
-68.9	8.32326	-9.4831E-06					
-68.8	8.34305	-9.16783E-06					
