#EXPORTTYPE:DATA SINGLE						
#FILE:B&D.ngb-sla						
#FORMAT:NETZSCH5						
#FTYPE:ANSI						
#IDENTITY:D						
#DECIMAL:POINT						
#SEPARATOR:SEMICOLON						
#MTYPE:DIL						
#INSTRUMENT:NETZSCH DIL 402SE						
#PROJECT:1						
#DATE/TIME:10.12.2019 16:07						
#CORR. FILE:						
#TEMPCAL:TCALZERO.TMX						
#LABORATORY:1						
#OPERATOR:1						
#REMARK:						
#SAMPLE:D						
#SAMPLE LENGTH /mm:9.91						
#MATERIAL:Ã’¥…						
#MEASMODE:Standard Expansion						
#M.RANGE /¶Ãm:20000						
#CORR. CODE:010						
#RANGE:-110°„C/5.0(K/min)/200°„C						
#SEGMENT:S1/1						
#SEG. 1:-110°„C/5.0(K/min)/200°„C						
						
##Temp./°„C	Time/min	dL/Lo				
-54.2	11.22937	0.000518433				
-54.1	11.24916	0.000519516				
-54	11.26896	0.000520865				
-53.9	11.28874	0.000522132				
-53.8	11.30851	0.000523489				
-53.7	11.32831	0.00052475				
-53.6	11.34807	0.000525926				
-53.5	11.36784	0.000527312				
-53.4	11.38764	0.000528379				
-53.3	11.40742	0.000529892				
-53.2	11.42718	0.000531015				
-53.1	11.44696	0.000532409				
-53	11.46677	0.000533662				
-52.9	11.48653	0.000534835				
-52.8	11.50632	0.000536097				
-52.7	11.52612	0.000537537				
-52.6	11.54593	0.000538939				
-52.5	11.56575	0.000540043				
-52.4	11.58558	0.000541386				
-52.3	11.6054	0.000542715				
-52.2	11.62522	0.000544045				
-52.1	11.64503	0.00054501				
-52	11.66484	0.000546569				
-51.9	11.68467	0.000547764				
-51.8	11.70449	0.000549061				
-51.7	11.72432	0.000550339				
-51.6	11.74413	0.000551508				
-51.5	11.76397	0.000552994				
-51.4	11.78381	0.000554259				
-51.3	11.80365	0.000555494				
-51.2	11.82353	0.000556686				
-51.1	11.84339	0.000558106				
-51	11.86323	0.000559302				
-50.9	11.88307	0.000560546				
-50.8	11.90291	0.000561938				
-50.7	11.92274	0.000563038				
-50.6	11.94257	0.000564503				
-50.5	11.96241	0.000565609				
-50.4	11.98224	0.000566921				
-50.3	12.00206	0.0005682				
-50.2	12.02188	0.000569519				
-50.1	12.0417	0.000570676				
-50	12.0615	0.000572227				
-49.9	12.0813	0.000573317				
-49.8	12.10112	0.000574672				
-49.7	12.12091	0.00057607				
-49.6	12.1407	0.000577248				
-49.5	12.16048	0.000578606				
-49.4	12.18026	0.000579849				
-49.3	12.20003	0.000581243				
-49.2	12.2198	0.000582484				
-49.1	12.23955	0.000583985				
-49	12.2593	0.000585081				
-48.9	12.27905	0.000586423				
-48.8	12.29879	0.000587927				
-48.7	12.31853	0.000589207				
-48.6	12.33827	0.000590434				
-48.5	12.35801	0.000591838				
-48.4	12.37776	0.000593071				
-48.3	12.39748	0.000594343				
-48.2	12.41719	0.000595845				
-48.1	12.43693	0.0005972				
-48	12.45666	0.00059841				
-47.9	12.47641	0.0005997				
-47.8	12.49614	0.00060106				
-47.7	12.51587	0.000602331				
-47.6	12.53564	0.000603681				
-47.5	12.55541	0.000605008				
-47.4	12.57518	0.000606305				
-47.3	12.59495	0.000607625				
-47.2	12.61473	0.000608889				
-47.1	12.6345	0.00061022				
-47	12.65429	0.000611547				
-46.9	12.6741	0.000612951				
-46.8	12.69392	0.000614099				
-46.7	12.71376	0.000615541				
-46.6	12.7336	0.000616752				
-46.5	12.75344	0.000618111				
-46.4	12.77329	0.000619605				
-46.3	12.79314	0.000620731				
-46.2	12.81301	0.00062236				
-46.1	12.8329	0.000623315				
-46	12.85278	0.000625023				
-45.9	12.87267	0.00062589				
-45.8	12.89257	0.000627384				
-45.7	12.91245	0.000628806				
-45.6	12.93233	0.000629976				
-45.5	12.95223	0.000631411				
-45.4	12.97211	0.000632735				
-45.3	12.99199	0.000633997				
-45.2	13.0119	0.000635258				
-45.1	13.03179	0.000636799				
-45	13.0517	0.00063802				
-44.9	13.07157	0.000639373				
-44.8	13.09145	0.000640679				
-44.7	13.11129	0.000641962				
-44.6	13.13115	0.000643216				
-44.5	13.15101	0.00064455				
-44.4	13.17088	0.000645881				
-44.3	13.19074	0.000647289				
-44.2	13.21055	0.000648503				
-44.1	13.23041	0.000649753				
-44	13.25026	0.000651242				
-43.9	13.27007	0.000652385				
-43.8	13.28989	0.000653605				
-43.7	13.3097	0.000655067				
-43.6	13.32952	0.000656282				
-43.5	13.34934	0.000657511				
-43.4	13.36913	0.000658918				
-43.3	13.38894	0.000660142				
-43.2	13.40875	0.000661531				
-43.1	13.42855	0.000662768				
-43	13.44836	0.000664018				
-42.9	13.46814	0.000665427				
-42.8	13.48795	0.000666736				
-42.7	13.50776	0.000668081				
-42.6	13.52758	0.000669402				
-42.5	13.54739	0.000670645				
-42.4	13.56719	0.000671938				
-42.3	13.58699	0.000673206				
-42.2	13.60679	0.00067445				
-42.1	13.62663	0.000675562				
-42	13.64645	0.000676985				
-41.9	13.66628	0.000678015				
-41.8	13.68612	0.000679534				
-41.7	13.70598	0.000680771				
-41.6	13.72582	0.000681979				
-41.5	13.74568	0.000683215				
-41.4	13.76553	0.000684565				
-41.3	13.78539	0.000686089				
-41.2	13.80524	0.000686977				
-41.1	13.82508	0.000688368				
